OrderID,OrderDate,ShipDate,DeliveryDate,Year,Quarter,Month,MonthName,WeekNumber,DayOfWeek,CustomerID,CustomerName,Segment,Region,Country,SalesChannel,ProductID,Category,SubCategory,UnitPrice,Quantity,Discount,GrossSales,DiscountAmount,NetSales,COGS,GrossProfit,ProfitMargin,ShippingCost,Tax,TotalRevenue,PaymentMethod,ShipMode,OrderStatus,IsReturned,ReturnReason,CustomerRating,EmployeeID,EmployeeName,Department,ManagerID,EmployeeAge,ExperienceYears,EmployeeSalary,CostRatio
ORD-000001,2021-01-01,2021-01-08,2021-01-11,2021,Q1,1,January,53,Friday,CUST-00398,Riley Wilson,Consumer,North,Australia,Direct Sales,PROD-00135,Beauty,Fragrance,752.21,12,0.05,9026.52,451.33,8575.19,3601.58,4973.61,58.0,95.72,686.02,9261.21,Debit Card,Economy,Completed,No,,3.5,EMP0010,Jack Taylor,Sales,EMP0009,27,20,60642.0,0.42
ORD-000002,2021-01-02,2021-01-04,2021-01-09,2021,Q1,1,January,53,Saturday,CUST-00118,Riley Johnson,Enterprise,South,France,Online,PROD-00242,Clothing,Sportswear,1901.68,7,0.1,13311.76,1331.18,11980.58,8266.6,3713.98,31.0,87.88,958.45,12939.03,Credit Card,Economy,Completed,No,,1.6,EMP0031,Ethan Baker,Finance,EMP0003,55,14,81821.0,0.69
ORD-000003,2021-01-03,2021-01-10,2021-01-11,2021,Q1,1,January,53,Sunday,CUST-00311,Taylor Moore,Non-Profit,West,Canada,Direct Sales,PROD-00156,Clothing,Kids,1465.33,29,0.15,42494.57,6374.19,36120.38,18060.19,18060.19,50.0,31.8,2889.63,39010.01,Credit Card,Standard,Completed,No,,3.8,EMP0005,Eva Martinez,Operations,EMP0006,35,34,148619.0,0.5
ORD-000004,2021-01-04,2021-01-05,2021-01-06,2021,Q1,1,January,1,Monday,CUST-00181,Avery Miller,SMB,South,France,Online,PROD-00190,Furniture,Living Room,1199.32,11,0.0,13192.52,0.0,13192.52,7387.81,5804.71,44.0,13.64,1055.4,14247.92,Credit Card,Express,Completed,No,,3.7,EMP0001,Alice Johnson,IT,EMP0002,44,20,125109.0,0.56
ORD-000005,2021-01-05,2021-01-09,2021-01-13,2021,Q1,1,January,1,Tuesday,CUST-00113,Casey Moore,Consumer,East,USA,Direct Sales,PROD-00075,Beauty,Fragrance,316.26,33,0.05,10436.58,521.83,9914.75,4065.05,5849.7,59.0,92.63,793.18,10707.93,Debit Card,Economy,Processing,No,,1.1,EMP0020,Tina Hall,Marketing,EMP0002,41,20,101135.0,0.41
ORD-000006,2021-01-06,2021-01-11,2021-01-16,2021,Q1,1,January,1,Wednesday,CUST-00326,Casey Davis,SMB,Central,USA,Wholesale,PROD-00157,Food & Beverage,Beverages,316.21,6,0.15,1897.26,284.59,1612.67,822.46,790.21,49.0,115.74,129.01,1741.68,Debit Card,Economy,Completed,No,,2.6,EMP0045,Steve Sanchez,Operations,EMP0009,34,20,48244.0,0.51
ORD-000007,2021-01-06,2021-01-07,2021-01-12,2021,Q1,1,January,1,Wednesday,CUST-00098,Alex Miller,Consumer,East,UK,Partner,PROD-00171,Electronics,Laptops,120.88,47,0.0,5681.36,0.0,5681.36,3295.19,2386.17,42.0,80.89,454.51,6135.87,PayPal,Same Day,Completed,No,,2.3,EMP0013,Mia Jackson,HR,EMP0002,53,31,83048.0,0.58
ORD-000008,2021-01-07,2021-01-08,2021-01-10,2021,Q1,1,January,1,Thursday,CUST-00318,Morgan Johnson,Consumer,West,USA,Direct Sales,PROD-00182,Automotive,Electronics,1733.02,15,0.1,25995.3,2599.53,23395.77,9826.22,13569.55,58.0,37.88,1871.66,25267.43,Cash,Same Day,Pending,No,,3.7,EMP0013,Mia Jackson,HR,EMP0002,47,4,65251.0,0.42
ORD-000009,2021-01-08,2021-01-11,2021-01-13,2021,Q1,1,January,1,Friday,CUST-00129,Jordan Davis,Consumer,South,India,Direct Sales,PROD-00162,Beauty,Fragrance,1204.22,32,0.1,38535.04,3853.5,34681.54,19768.48,14913.06,43.0,101.65,2774.52,37456.06,Credit Card,Economy,Completed,No,,1.9,EMP0045,Steve Sanchez,Operations,EMP0009,35,8,43165.0,0.57
ORD-000010,2021-01-12,2021-01-16,2021-01-20,2021,Q1,1,January,2,Tuesday,CUST-00348,Jamie Wilson,Consumer,North,UK,Direct Sales,PROD-00231,Automotive,Parts,1417.6,11,0.0,15593.6,0.0,15593.6,11227.39,4366.21,28.0,16.62,1247.49,16841.09,Debit Card,Express,Completed,No,,3.4,EMP0007,Grace Kim,Marketing,EMP0005,57,17,97354.0,0.72
